,fileNumber,fileName,iter1:m/nratio,iter1:time,iter1:noOfIter,avgIter,avgTime,mnratio
26,27,"n=30,m=106.cnf",3.533333333333333,-7.37979999989591e-05,16,16.0,-7.37979999989591e-05,3.533333333333333
27,28,"n=30,m=112.cnf",3.733333333333333,-0.00024151100000047163,83,83.0,-0.00024151100000047163,3.733333333333333
28,29,"n=40,m=61.cnf",1.525,4.874199999882478e-05,15,15.0,4.874199999882478e-05,1.525
29,30,"n=40,m=49.cnf",1.225,0.00012051200000051665,8,8.0,0.00012051200000051665,1.225
30,31,"n=40,m=175.cnf",4.375,-0.00021664799999854267,60,60.0,-0.00021664799999854267,4.375
31,32,"n=50,m=125.cnf",2.5,-0.00020172299999998702,26,26.0,-0.00020172299999998702,2.5
32,33,"n=50,m=195.cnf",3.9,0.00017425099999890392,54,54.0,0.00017425099999890392,3.9
33,34,"n=10,m=35.cnf",3.5,-0.000411231999999373,6,6.0,-0.000411231999999373,3.5
34,35,"n=50,m=65.cnf",1.3,-0.0005330049999994202,4,4.0,-0.0005330049999994202,1.3
35,36,"n=50,m=220.cnf",4.4,0.0005252110000011356,107,107.0,0.0005252110000011356,4.4
36,37,"n=30,m=76.cnf",2.533333333333333,0.00025824099999915967,14,14.0,0.00025824099999915967,2.533333333333333
37,38,"n=30,m=88.cnf",2.933333333333333,0.00019181399999901322,17,17.0,0.00019181399999901322,2.933333333333333
38,39,"n=30,m=148.cnf",4.933333333333334,-0.00037024699999932414,186,186.0,-0.00037024699999932414,4.933333333333334
39,40,"n=40,m=13.cnf",0.325,-6.307800000016073e-05,3,3.0,-6.307800000016073e-05,0.325
40,41,"n=30,m=160.cnf",5.333333333333333,0.0008370709999994119,90,90.0,0.0008370709999994119,5.333333333333333
41,42,"n=50,m=70.cnf",1.4,0.00032221800000087336,8,8.0,0.00032221800000087336,1.4
42,43,"n=50,m=180.cnf",3.6,-3.2888999999869384e-05,706,706.0,-3.2888999999869384e-05,3.6
43,44,"n=10,m=20.cnf",2.0,-0.000402967999999504,14,14.0,-0.000402967999999504,2.0
44,45,"n=10,m=8.cnf",0.8,-0.00015260700000041538,0,0.0,-0.00015260700000041538,0.8
45,46,"n=50,m=155.cnf",3.1,0.004364247999999904,52,52.0,0.004364247999999904,3.1
46,47,"n=40,m=139.cnf",3.475,-0.0013057379999992234,13,13.0,-0.0013057379999992234,3.475
47,48,"n=30,m=61.cnf",2.033333333333333,-0.00010306900000145448,13,13.0,-0.00010306900000145448,2.033333333333333
48,49,"n=30,m=49.cnf",1.6333333333333333,-0.00017200599999966926,8,8.0,-0.00017200599999966926,1.6333333333333333
49,50,"n=10,m=23.cnf",2.3,0.0005567809999984519,3,3.0,0.0005567809999984519,2.3
50,51,"n=50,m=140.cnf",2.8,0.00020747699999823507,25,25.0,0.00020747699999823507,2.8
51,52,"n=50,m=150.cnf",3.0,0.001388957999999718,78,78.0,0.001388957999999718,3.0
52,53,"n=30,m=58.cnf",1.9333333333333331,-0.0001983750000000839,8,8.0,-0.0001983750000000839,1.9333333333333331
53,54,"n=30,m=70.cnf",2.333333333333333,0.0007536500000000501,17,17.0,0.0007536500000000501,2.333333333333333
